1:0:d=2015012800:PRMSL:mean sea level:48 hour fcst:
2:1536377:d=2015012800:PRES:1 hybrid level:48 hour fcst:
3:1853650:d=2015012800:HGT:1 hybrid level:48 hour fcst:
4:2818039:d=2015012800:TMP:1 hybrid level:48 hour fcst:
5:3771342:d=2015012800:RH:1 hybrid level:48 hour fcst:
6:5253796:d=2015012800:DPT:1 hybrid level:48 hour fcst:
7:6859422:d=2015012800:SPFH:1 hybrid level:48 hour fcst:
8:7432021:d=2015012800:UGRD:1 hybrid level:48 hour fcst:
9:8603661:d=2015012800:VGRD:1 hybrid level:48 hour fcst:
10:9742798:d=2015012800:PRES:2 hybrid level:48 hour fcst:
11:10064214:d=2015012800:HGT:2 hybrid level:48 hour fcst:
12:11094891:d=2015012800:TMP:2 hybrid level:48 hour fcst:
13:12018575:d=2015012800:DPT:2 hybrid level:48 hour fcst:
14:13598875:d=2015012800:SPFH:2 hybrid level:48 hour fcst:
15:14144158:d=2015012800:UGRD:2 hybrid level:48 hour fcst:
16:15324695:d=2015012800:VGRD:2 hybrid level:48 hour fcst:
17:16472999:d=2015012800:REFC:entire atmosphere (considered as a single layer):48 hour fcst:
18:17133645:d=2015012800:VIS:surface:48 hour fcst:
19:17239804:d=2015012800:VIS:surface:48 hour fcst:
20:17850726:d=2015012800:GUST:surface:48 hour fcst:
269:271912430:d=2015012800:SNOWC:surface:48 hour fcst:
270:271913178:d=2015012800:SNOD:surface:48 hour fcst:
271:271914192:d=2015012800:TMP:2 m above ground:48 hour fcst:
272:273385154:d=2015012800:SPFH:2 m above ground:48 hour fcst:
273:273952530:d=2015012800:DPT:2 m above ground:48 hour fcst:
274:275527160:d=2015012800:RH:2 m above ground:48 hour fcst:
275:276984410:d=2015012800:UGRD:10 m above ground:48 hour fcst:
276:278169739:d=2015012800:VGRD:10 m above ground:48 hour fcst:
277:279320488:d=2015012800:CPRAT:surface:48 hour fcst:
278:279320704:d=2015012800:PRATE:surface:48 hour fcst:
279:279320920:d=2015012800:APCP:surface:0-2 day acc fcst:
280:280573407:d=2015012800:ACPCP:surface:0-2 day acc fcst:
281:280573647:d=2015012800:NCPCP:surface:0-2 day acc fcst:
282:281814778:d=2015012800:WEASD:surface:0-2 day acc fcst:
283:281815018:d=2015012800:SNOM:surface:0-2 day acc fcst:
284:281820508:d=2015012800:SSRUN:surface:0-2 day acc fcst:
285:281820748:d=2015012800:CSNOW:surface:48 hour fcst:
286:281820964:d=2015012800:CICEP:surface:48 hour fcst:
287:281821180:d=2015012800:CFRZR:surface:48 hour fcst:
288:281821396:d=2015012800:CRAIN:surface:48 hour fcst:
289:281821612:d=2015012800:CSNOW:surface:48 hour fcst:
